n,impl,temps_sec,alloc_octets
0,naif,0.000004,1
0,HAT,0.000002,8
1,naif,0.000003,1
1,HAT,0.000004,9
2,naif,0.000003,2
2,HAT,0.000004,25
3,naif,0.000002,4
3,HAT,0.000004,27
4,naif,0.000003,4
4,HAT,0.000004,27
5,naif,0.000003,8
5,HAT,0.000006,63
6,naif,0.000003,8
6,HAT,0.000005,63
7,naif,0.000003,8
7,HAT,0.000004,63
8,naif,0.000003,8
8,HAT,0.000004,63
9,naif,0.000003,16
9,HAT,0.000005,67
10,naif,0.000003,16
10,HAT,0.000005,67
11,naif,0.000003,16
11,HAT,0.000005,67
12,naif,0.000003,16
12,HAT,0.000005,67
13,naif,0.000003,16
13,HAT,0.000005,71
14,naif,0.000003,16
14,HAT,0.000005,71
15,naif,0.000003,16
15,HAT,0.000005,71
16,naif,0.000003,16
16,HAT,0.000005,71
17,naif,0.000004,32
17,HAT,0.000008,143
18,naif,0.000004,32
18,HAT,0.000007,143
19,naif,0.000003,32
19,HAT,0.000008,143
20,naif,0.000003,32
20,HAT,0.000007,143
21,naif,0.000003,32
21,HAT,0.000007,143
22,naif,0.000004,32
22,HAT,0.000007,143
23,naif,0.000003,32
23,HAT,0.000008,143
24,naif,0.000004,32
24,HAT,0.000007,143
25,naif,0.000004,32
25,HAT,0.000008,151
26,naif,0.000004,32
26,HAT,0.000008,151
27,naif,0.000003,32
27,HAT,0.000007,151
28,naif,0.000003,32
28,HAT,0.000008,151
29,naif,0.000004,32
29,HAT,0.000008,151
30,naif,0.000004,32
30,HAT,0.000008,151
31,naif,0.000003,32
31,HAT,0.000009,151
32,naif,0.000004,32
32,HAT,0.000008,151
33,naif,0.000003,64
33,HAT,0.000008,159
34,naif,0.000004,64
34,HAT,0.000008,159
35,naif,0.000026,64
35,HAT,0.000016,159
36,naif,0.000007,64
36,HAT,0.000009,159
37,naif,0.000003,64
37,HAT,0.000008,159
38,naif,0.000003,64
38,HAT,0.000008,159
39,naif,0.000004,64
39,HAT,0.000008,159
40,naif,0.000003,64
40,HAT,0.000009,159
41,naif,0.000004,64
41,HAT,0.000009,167
42,naif,0.000004,64
42,HAT,0.000009,167
43,naif,0.000004,64
43,HAT,0.000009,167
44,naif,0.000004,64
44,HAT,0.000010,167
45,naif,0.000004,64
45,HAT,0.000010,167
46,naif,0.000004,64
46,HAT,0.000010,167
47,naif,0.000004,64
47,HAT,0.000010,167
48,naif,0.000004,64
48,HAT,0.000010,167
49,naif,0.000004,64
49,HAT,0.000009,175
50,naif,0.000004,64
50,HAT,0.000010,175
51,naif,0.000004,64
51,HAT,0.000010,175
52,naif,0.000005,64
52,HAT,0.000010,175
53,naif,0.000005,64
53,HAT,0.000010,175
54,naif,0.000005,64
54,HAT,0.000010,175
55,naif,0.000005,64
55,HAT,0.000010,175
56,naif,0.000005,64
56,HAT,0.000010,175
57,naif,0.000005,64
57,HAT,0.000011,183
58,naif,0.000005,64
58,HAT,0.000011,183
59,naif,0.000004,64
59,HAT,0.000010,183
60,naif,0.000011,64
60,HAT,0.000011,183
61,naif,0.000004,64
61,HAT,0.000010,183
62,naif,0.000004,64
62,HAT,0.000011,183
63,naif,0.000004,64
63,HAT,0.000011,183
64,naif,0.000005,64
64,HAT,0.000011,183
65,naif,0.000004,128
65,HAT,0.000018,327
66,naif,0.000005,128
66,HAT,0.000018,327
67,naif,0.000005,128
67,HAT,0.000017,327
68,naif,0.000004,128
68,HAT,0.000016,327
69,naif,0.000005,128
69,HAT,0.000017,327
70,naif,0.000004,128
70,HAT,0.000017,327
71,naif,0.000004,128
71,HAT,0.000017,327
